iata;oaci;continent;latitude;longitude;municipality;country
GZO;AGGN;OC;'-8.09778022766;156.863.998.413;Gizo;SB
GZP;LTFG;AS;36.299.217;32.300.598;Gazipaşa;TR
GZT;LTAJ;AS;36.947.201;37.478.699;Gaziantep;TR
GZW;OIIK;AS;36.240.101;500.471;Qazvin;IR
HAA;ENHK;EU;70.486.702;221.397;Hasvik;NO
HAB;KHAB;NA;3.411.759.949;'-87.99819946;Hamilton;US
HAC;RJTH;AS;33.115.002;139.785.995;Hachijojima;JP
HAD;ESMT;EU;5.669.110.107.421.870;12.820.199.966.430.600;Halmstad;SE
HAE;;NA;36.191.600.799.599.900;'-113.092002869;Supai Village;US
HAF;KHAF;NA;37.513.401.031.499.900;'-122.500999451;Half Moon Bay;US
HAH;FMCH;AF;'-11.5337;432.719;Moroni;KM
HAI;KHAI;NA;41.959.801;'-85.593399;Three Rivers;US
HAJ;EDDV;EU;52.461.102;968.508;Hannover;DE
HAK;ZJHK;AS;199.349;110.459;Haikou (Meilan);CN
HAM;EDDH;EU;53.630.402;998.823;Hamburg;DE
HAN;VVNB;AS;21.221.201;105.806.999;Hanoi (Soc Son);VN
HAO;KHAO;NA;39.363.800.048.799.900;'-84.5220031738;Hamilton;US
HAQ;VRMH;AS;6.744.229.793.548.580;7.317.050.170.898.430;Haa Dhaalu Atoll;MV
HAR;KCXY;NA;402.170.982.361;'-76.85150146480001;Harrisburg;US
HAS;OEHL;AS;27.437.901;41.686.298;Ha'il;SA
HAT;YHTL;OC;'-11.7369;142.576.996;Shelburne;AU
HAU;ENHD;EU;59.345.299;520.836;Karmøy;NO
HAV;MUHA;NA;22.989.200.592.041.000;'-82.40910339355469;Havana;CU
HAW;EGFE;EU;51.833.099.365.234.300;'-4.9611101150512695;Haverfordwest;GB
HAY;SKAG;NA;8.247;'-73.5814;Aguachica;CO
HBA;YMHB;OC;'-42.8371;14.751.295;Hobart (Cambridge);AU
HBB;;NA;327.668;'-103.209;Hobbs;US
HBE;HEBA;AF;3.093.249;29.696.437;Alexandria;EG
HBG;KHBG;NA;3.126.479.912;'-89.25279999;Hattiesburg;US
HBH;;NA;57.412.201;'-133.43848;Entrance Island;US
HBK;;NA;34.940.700.531;'-110.138000488;Holbrook;US
HBR;KHBR;NA;34.991.317;'-99.051313;Hobart;US
HBU;ZMBS;AS;46.100.601;91.584.198;Bulgan;MN
HBX;VOHB;AS;153.617;750.849;Hubli;IN
HCA;KBPG;NA;32.212.601;'-101.522003;Big Spring;US
HCC;;NA;42.291.302;'-73.710297;Hudson;US
HCM;HCME;AF;8.104;49.82;Eyl;SO
HCN;RCKW;AS;220.411;120.730.003;Hengchun;TW
HCQ;YHLC;OC;'-18.2339;127.669.998;;AU
HCR;PAHC;NA;6.218.830.108.642.570;'-159.77499389648438;Holy Cross;US
HCW;KCQW;NA;34.712.898;'-79.957001;Cheraw;US
HDD;OPKD;AS;253.181;68.366.096;Hyderabad;PK
HDE;KHDE;NA;40.452.099;'-99.336502;Holdrege;US
HDF;EDAH;EU;538.787;141.523;Zirchow;DE
HDH;PHDH;OC;215.795;'-158.197006;Mokuleia;US
HDM;OIHH;AS;34.869.202;48.552.502;Hamadan;IR
HDN;KHDN;NA;40.481.201;'-107.218002;Hayden;US
HDO;VIDX;AS;28.707.701;77.358.902;Ghaziabad;IN
HDR;OIKP;AS;271.583;56.172.501;Bandar Abbas;IR
HDS;FAHS;AF;'-24.368600845299998;310.487.003.326;Hoedspruit;ZA
HDY;VTSS;AS;693.320.989.609;100.392.997.742;Hat Yai;TH
HEA;OAHR;AS;34.209.999;62.228.298;Guzara;AF
HEB;;AS;17.633.329.391.500.000;954.666.976.929;Hinthada;MM
HED;;NA;55.802.346;'-160.901346;Herendeen Bay;US
HEE;KHEE;NA;34.576.571;'-90.67616;West Helena;US
HEI;EDXB;EU;54.153.332;8.901.667;Oesterdeichstrich;DE
HEK;ZYHE;AS;50.171.621;127.308.884;Heihe;CN
HEL;EFHK;EU;60.318.363;24.963.341;Helsinki (Vantaa);FI
HEN;;EU;60.147.778;24.924.444;Helsinki;FI
HER;LGIR;EU;35.339.699;251.803;Heraklion;GR
HES;KHRI;NA;45.828.223;'-119.259024;Hermiston;US
HET;ZBHH;AS;40.849.658;111.824.598;Hohhot;CN
HEY;;NA;3.134.600.067;'-85.65429688;Fort Rucker Ozark;US
HEZ;KHEZ;NA;31.614.817;'-91.297331;Natchez;US
HFA;LLHA;AS;3.280.939.865.112.300;3.504.309.844.970.700;Haifa;IL
HFD;KHFD;NA;41.736.698.150.635;'-72.649398803711;Hartford;US
HFE;ZSOF;AS;3.198.779;1.169.769;Hefei;CN
HFF;KHFF;NA;35.036.087;'-79.498615;Hoffman;US
HFN;BIHN;EU;64.295.601;'-15.2272;Höfn;IS
HFS;ESOH;EU;600.201;135.789;Råda;SE
HFT;ENHF;EU;70.679.703;236.686;Hammerfest;NO
HGA;HCMH;AF;9.513.207;44.082.389;Hargeisa;SO
HGD;YHUG;OC;'-20.815001;144.225.006;Hughenden;AU
HGE;SVHG;SA;10.462.474;'-66.092779;Higuerote;VE
HGH;ZSHC;AS;3.023.609;120.428.865;Hangzhou;CN
HGL;EDXH;EU;54.185.279.846.200.000;791.583.299.637;Helgoland;DE
HGN;VTCH;AS;193.013;979.758;Mae Hong Son;TH
HGO;DIKO;AF;938.718;'-5.55666;Korhogo;CI
HGR;KHGR;NA;39.708.771;'-77.728014;Hagerstown;US
HGS;GFHA;AF;8.394.348;'-13.128891;Freetown;SL
HGT;;NA;359.935;'-121.237;Jolon;US
HGU;AYMH;OC;'-5.828212;144.299.412;Mount Hagen;PG
HGZ;;NA;66.176.133;'-155.684816;Hogatza;US
HHE;RJSH;AS;40.551.181;141.465.428;Hachinohe;JP
HHH;KHXD;NA;322.244;'-80.697502;Hilton Head Island;US
HHI;PHHI;OC;21.481.637;'-158.037048;Wahiawa;US
HHN;EDFH;EU;499.487;726.389;Frankfurt am Main (Lautzenhausen);DE
HHP;VHSS;AS;22.288.868;114.152.369;Central and Western;HK
HHQ;VTPH;AS;126.361.999.512;99.951.499.939;Hua Hin;TH
HHR;KHHR;NA;33.922.798;'-118.334999;Hawthorne;US
HHZ;NTGH;OC;'-17.548297;'-142.612037;Hikueru;PF
HIB;KHIB;NA;47.384.831;'-92.836905;Hibbing;US
HID;YHID;OC;'-10.585628;142.292.653;Horn;AU
HIE;KHIE;NA;4.436.752;'-71.545765;Whitefield;US
HIF;KHIF;NA;4.112.403;'-111.973086;Ogden;US
HIG;YHHY;OC;'-16.424148;14.314.534;Highbury;AU
HII;KHII;NA;34.571.098;'-114.358002;Lake Havasu City;US
HIJ;RJOA;AS;344.361;132.919.006;Hiroshima;JP
HIL;HASL;AF;6.077.545;44.763.736;Shilavo;ET
HIM;VCCH;AS;804.981;809.814;Polonnaruwa Town;LK
HIN;RKPS;AS;35.088.591;128.071.747;Sacheon;KR
HIO;KHIO;NA;45.540.401;'-122.949997;Portland;US
HIP;YHDY;OC;'-21.33329963684082;1.382.830.047.607.420;;AU
HIR;AGGH;OC;'-9.428;160.054.993;Honiara;SB
HIS;;OC;'-20.059999465942383;14.888.099.670.410.100;Hayman Island;AU
HIW;RJBH;AS;34.371.451;132.417.666;Hiroshima;JP
HJR;;AS;248.172;79.918.602;Khajuraho;IN
HJT;ZMHU;AS;469.258.003.235;102.773.002.625;Khujirt;MN
HKA;KHKA;NA;35.940.399.169.900.000;'-89.83080291750001;Blytheville;US
HKD;RJCH;AS;41.77;140.822.006;Hakodate;JP
HKG;VHHH;AS;22.308.901;113.915.001;Hong Kong;HK
HKK;NZHK;OC;'-42.713600158691406;17.098.500.061.035.100;;NZ
HKN;AYHK;OC;'-5.463846;150.407.327;Kimbe;PG
HKR;;AF;'-1.14542;35.124.922;Mara;KE
HKS;KHKS;NA;3.233.449.936;'-90.22219849;Jackson;US
HKT;VTSP;AS;81.132;98.316.902;Phuket;TH
HKY;KHKY;NA;3.574.110.031;'-81.38950348;Hickory;US
HLA;FALA;AF;'-25.938499;279.261;Johannesburg;ZA
HLB;KHLB;NA;39.342.861;'-85.258441;Batesville;US
HLC;KHLC;NA;3.937.879.944;'-99.83149719;Hill City;US
HLD;ZBLA;AS;49.205.002;119.824.997;Hailar;CN
HLF;ESSF;EU;57.525.799;158.233;Hultsfred;SE
HLG;KHLG;NA;401.749.992.371;'-80.6463012695;Wheeling;US
HLH;ZBUL;AS;46.195.333;122.008.333;Ulanhot;CN
HLI;KCVH;NA;368.932.991.028;'-121.410003662;Hollister;US
HLL;YHIL;OC;'-21.718283;119.440.334;Hillside;AU
HLM;;NA;42.795.898;'-86.162003;Holland;US
HLN;KHLN;NA;466.068;'-111.983002;Helena;US
HLO;;EU;6.605.000.305.175.780;'-23.69610023498535;Onundarfjörður;IS
HLP;WIHH;AS;'-6.266610145568848;10.689.099.884.033.200;Jakarta;ID
HLR;KHLR;NA;311.387;'-97.7145;Fort Cavazos (Killeen);US
HLS;YSTH;OC;'-41.336700439453125;14.828.199.768.066.400;;AU
HLT;YHML;OC;'-37.64889907836914;14.206.500.244.140.600;;AU
HLV;;OC;'-15.685799598693848;14.521.499.633.789.000;Helenvale;AU
HLW;FAHL;AF;'-28.0166049887;322.751.712.799;Hluhluwe;ZA
HLZ;NZHN;OC;'-37.8666992188;175.332.000.732;Hamilton;NZ
HMA;USHH;AS;610.285;69.086.098;Khanty-Mansiysk;RU
HME;DAUH;AF;31.673;614.044;Hassi Messaoud;DZ
HMG;YHMB;OC;'-23.926485;132.807.798;Hermannsburg (Ntaria);AU
HMI;ZWHM;AS;428.414;93.669.197;Hami;CN
HMJ;UKLH;EU;49.359.699;26.933.399;Khmelnytskyi;UA
HMN;KHMN;NA;32.852.501;'-106.107002;Alamogordo;US
HMO;MMHO;NA;29.093.527;'-111.049891;Hermosillo;MX
HMR;ENHA;EU;608.181;11.068;Hamar;NO
HMT;KHMT;NA;337.340.011.597;'-117.023002625;Hemet;US
HMV;ESUT;EU;65.806.099;150.828;Hemavan;SE
HMY;RKTP;AS;36.703.999;126.486;Seosan;KR
HNA;RJSI;AS;394.286;141.134.995;Hanamaki;JP
HNB;KHNB;NA;382.490.005.493;'-86.95369720459999;Huntingburg;US
HNC;KHSE;NA;35.232.799.530.029;'-75.617797851562;Hatteras;US
HND;RJTT;AS;35.552.299;139.779.999;Tokyo;JP
HNH;PAOH;NA;580.961;'-135.410111;Hoonah;US
HNL;PHNL;NA;2.132.062;'-157.924228;Honolulu, Oahu;US
HNM;PHHN;OC;20.795.601;'-156.014008;Hana;US
HNS;PAHN;NA;59.243.921;'-135.523925;Haines;US
HNY;ZGHY;AS;2.672.208;112.617.958;Hengyang;CN
HOA;HKHO;AF;'-1.522;40.004.002;Hola;KE
HOB;KHOB;NA;326.875;'-103.217003;Hobbs;US
HOE;VLHS;AS;20.257.299;100.436.996;Huay Xai;LA
HOF;OEAH;AS;25.285.299;49.485.199;Hofuf;SA
HOG;MUHG;NA;20.785.600.662.231.400;'-76.31510162353516;Holguin;CU
HOH;LOIH;EU;47.384.477;9.699.776;Hohenems;AT
HOI;NTTO;OC;'-18.0748;'-140.945999;Otepa;PF
HOK;YHOO;OC;'-18.3367004395;130.638.000.488;Lajamanu;AU
HOM;PAHO;NA;59.644.456;'-151.479235;Homer;US
HON;KHON;NA;44.385.201;'-98.2285;Huron;US
HOP;KHOP;NA;36.674.154;'-87.48974;Fort Campbell;US
HOQ;EDQM;EU;50.288.544;11.852.876;Hof;DE
HOR;LPHR;EU;38.519.901.275.634.700;'-28.715900421142578;Horta;PT
HOS;SAHC;SA;'-37.444698;'-70.222504;Chos Malal;AR
HOT;KHOT;NA;344.788;'-93.096262;Hot Springs;US
HOU;KHOU;NA;29.645.399;'-95.2789;Houston;US
HOV;ENOV;EU;62.180.000.305.176;60.741.000.175.476;Ørsta;NO
HOX;VYHL;AS;24.899.599;94.914.001;Hommalinn;MM
HPA;NFTL;OC;'-19.777000427246094;'-174.34100341796875;Lifuka;TO
HPB;PAHP;NA;61.523.899;'-166.147003;Hooper Bay;US
HPH;VVCI;AS;2.081.686;106.722.994;Haiphong (Hai An);VN
HPN;KHPN;NA;4.106.700.134.277.340;'-73.70760345458984;White Plains;US
HPR;;AF;'-25.65570068359375;28.220.600.128.173.800;Pretoria;ZA
HPT;KHPT;NA;427.237.014.771;'-93.22630310059999;Hampton;US
HPV;;OC;22.209.313;'-159.44515;Hanalei;US
HPY;KHPY;NA;29.786.100.387.599.900;'-94.95269775390001;Baytown;US
HQM;KHQM;NA;46.971.199.035.599.900;'-123.93699646;Hoquiam;US
HRA;LKMH;EU;50.540.199;150.066;Mnichovo Hradiště;CZ
HRB;ZYHB;AS;45.623.402;126.25;Harbin;CN
HRE;;AF;'-17.931801;310.928;Harare;ZW
HRG;HEGN;AF;27.176.776;33.796.692;Hurghada;EG
HRK;UKHH;EU;49.926.943;36.290.814;Kharkiv;UA
HRL;KHRL;NA;26.228.500.366.210.900;'-97.65440368652344;Harlingen;US
HRM;DAFH;AF;32.930.401;331.154;Hassi R'Mel;DZ
HRO;KHRO;NA;3.626.150.131.225.580;'-93.15470123291016;Harrison;US
HRR;;SA;3.216.667;'-75.85;Campiña;CO
HRS;FAHR;AF;'-28.2351;29.106.199;Harrismith;ZA
HRY;YHBY;OC;'-24.584;133.236;Ghan;AU
HRZ;SSHZ;SA;'-27.6383;'-54.3391;Horizontina;BR
HSB;KHSB;NA;37.811.298;'-88.550301;Harrisburg;US
HSC;ZGSG;AS;249.786;113.420.998;Shaoguan;CN
HSG;RJFS;AS;33.149.700.164.799.900;130.302.001.953;Saga;JP
HSH;KHND;NA;359.728.012.085;'-115.134002686;Las Vegas;US
HSI;KHSI;NA;406.053.009.033;'-98.42790222170001;Hastings;US
HSK;LEHC;EU;42.076.099;'-0.316667;Monflorite/Alcalá del Obispo;ES
HSL;PAHL;NA;65.697.899;'-156.350998;Huslia;US
HSM;YHSM;OC;'-36.669700622558594;14.217.300.415.039.000;;AU
HSN;ZSZS;AS;299.342;122.362;Zhoushan;CN
HSP;KHSP;NA;3.795.140.076;'-79.83390045;Hot Springs;US
HSS;VIHR;AS;29.179.399;75.755.302;Hisar;IN
HST;KHST;NA;2.548.859.978;'-80.38359833;Homestead;US
HSV;KHSV;NA;34.637.199;'-86.775101;Huntsville;US
HSZ;RCPO;AS;248.180.007.935;120.939.002.991;Hsinchu City;TW
HTA;UIAA;EU;52.026.299;113.306;Chita;RU
HTG;UOHH;AS;7.197.810.363.769.530;10.249.099.731.445.300;Khatanga;RU
HTH;KHTH;NA;38.544.399;'-118.634002;Hawthorne;US
HTI;YBHM;OC;'-20.3581008911;14.895.199.585;Hamilton Island;AU
HTL;KHTL;NA;44.359.798;'-84.671095;Houghton Lake;US
HTN;ZWTN;AS;3.703.850.173.950.190;7.986.489.868.164.060;Hotan;CN
HTO;KJPX;NA;40.959.954;'-72.25105;East Hampton;US
HTR;RORH;AS;24.059.751;12.380.558;Taketomi;JP
HTS;KHTS;NA;38.366.699;'-82.557999;Huntington;US
HTU;YHPN;OC;'-35.715302;142.360.001;;AU
HTV;KUTS;NA;307.469.005.585;'-95.5871963501;Huntsville;US
HTW;KHTW;NA;38.419.082;'-82.494922;South Point;US
HTY;LTDA;AS;36.362.778;36.282.223;Antakya;TR
HTZ;SKHC;NA;6.153.311;'-71.761969;Hato Corozal;CO
HUA;KHUA;NA;3.467.869.949;'-86.68479919;Redstone Arsnl Huntsville;US
HUB;YHBR;OC;'-16.489669799804688;13.063.027.954.101.500;;AU
HUC;;NA;18.138.082;'-65.800728;Humacao;PR
HUD;;NA;42.734.831;'-94.245315;Humboldt;US
HUE;HAHU;AF;1.383.012;3.688.237;Akwi;ET
HUF;;NA;394.515;'-87.307602;Terre Haute;US
HUG;MGHT;NA;15.316.667;'-91.505556;Huehuetenango;GT
HUH;NTTH;OC;'-16.687084;'-151.021593;Fare;PF
HUI;VVPB;AS;16.400.628;107.703.094;Huế;VN
HUJ;KHHW;NA;3.403.480.148;'-95.54190063;Hugo;US
HUK;;AF;'-23.9897;21.758.101;Hukuntsi;BW
HUL;KHUL;NA;461.231.002.808;'-67.792098999;Houlton;US
HUM;KHUM;NA;295.664.997.101;'-90.6604003906;Houma;US
HUN;RCYU;AS;24.023.099.899.291.900;12.161.799.621.582.000;Hualien City;TW
HUQ;HLON;AF;291.101;159.656;;LY
HUS;PAHU;NA;6.604.109.955;'-154.2630005;Hughes;US
HUT;KHUT;NA;380.654.983.521;'-97.86060333250002;Hutchinson;US
HUU;SPNC;SA;'-9.878809928894043;'-76.20480346679688;Huánuco;PE
HUV;ESNH;EU;61.768.087;17.080.715;Hudiksvall;SE
HUW;SWHT;SA;'-7.532120227810001;'-63.072101593;Humaitá;BR
HUX;MMBT;NA;15.774.909;'-96.260319;Huatulco;MX
HUY;EGNJ;EU;53.576.152;'-0.34954;Grimsby, Lincolnshire;GB
HUZ;ZGHZ;AS;23.049.999;114.599.998;Huizhou (Pingtan);CN
HVA;FMNL;AF;'-14.629514;47.763.555;Analalava;MG
HVB;YHBA;OC;'-25.320127;152.880.662;Hervey Bay;AU
HVD;ZMKD;AS;479.541.015.625;916.281.967.163.086;Khovd;MN
HVE;KHVE;NA;38.417.999.267.599.900;'-110.70400238;Hanksville;US
HVG;ENHV;EU;71.009.697;25.983.601;Honningsvåg;NO
HVK;BIHK;EU;65.704.697;'-21.6964;Hólmavík;IS
HVN;KHVN;NA;4.126.369.858;'-72.88680267;New Haven;US
HVR;KHVR;NA;48.541.387;'-109.762859;Havre;US
HVS;KHVS;NA;344.030.990.601;'-80.11920166019999;Hartsville;US
HWD;KHWD;NA;37.659.198.761;'-122.122001648;Hayward;US
HWI;;NA;58.127.399;'-134.755997;Hawk Inlet;US
HWK;YHAW;OC;'-31.855907;138.468.079;Hawker;AU
HWN;FVWN;AF;'-18.6299;27.021;Gwayi River Farms;ZW
HWO;KHWO;NA;260.012;'-80.2407;Hollywood;US
HXX;YHAY;OC;'-34.531399;144.830.002;;AU
HYA;KHYA;NA;416.693;'-70.280403;Hyannis;US
HYC;EGTB;EU;5.161.177;'-0.808316;Marlow, Buckinghamshire;GB
HYD;VOHS;AS;17.231.318;78.429.855;Hyderabad;IN
HYF;AYHF;OC;'-3.69838;143.057.902;Bainyik;PG
HYG;PAHY;NA;55.205.227;'-132.830286;Hydaburg;US
HYL;;NA;55.481.529;'-132.646008;Hollis;US
HYN;ZSLQ;AS;28.562.201;121.429.001;Taizhou (Luqiao);CN
HYR;KHYR;NA;46.025.199.890.100.000;'-91.44429779050002;Hayward;US
HYS;KHYS;NA;38.844.521;'-99.273148;Hays;US
HYV;EFHV;EU;606.544;248.811;Hyvinkää;FI
HZB;LFQT;EU;50.618.401;264.224;Merville, Nord;FR
HZG;ZLHZ;AS;33.133.527;107.203.817;Hanzhong (Chenggu);CN
HZK;BIHU;EU;65.952.301;'-17.426001;Húsavík;IS
HZL;KHZL;NA;40.986.801.147.499.900;'-75.9949035645;Hazleton;US
HZP;CYNR;NA;57.381.699;'-111.700996;Fort Mackay;CA
HZV;;AF;'-25.050100326538086;31.131.900.787.353.500;Hazyview;ZA
IAA;UOII;AS;67.437.202;86.621.902;Igarka;RU
IAB;KIAB;NA;37.621.899;'-97.268204;Wichita;US
IAD;KIAD;NA;389.445;'-77.455803;Dulles;US
IAG;KIAG;NA;431.073;'-78.946198;Niagara Falls;US
IAH;KIAH;NA;29.984.399.795.532.200;'-95.34140014648438;Houston;US
IAM;DAUZ;AF;280.515;964.291;In Aménas;DZ
IAN;PAIK;NA;66.976.128;'-160.439014;Kiana;US
IAO;RPNS;AS;98.591;126.014;Del Carmen;PH
IAQ;;AS;29.840.099;50.272.701;Imam Hassan;IR
IAR;UUDL;EU;57.560.699;40.157.398;Tunoshna;RU
IAS;LRIA;EU;47.180.278;27.620.833;Iaşi;RO
IBA;DNIB;AF;7.362.460.136.413.570;397.832.989.692.688;Ibadan;NG
IBB;SEII;SA;'-0.942628;'-90.953003;Puerto Villamil;EC
IBE;SKIB;SA;442.161;'-75.1333;Ibagué;CO
IBL;;AF;'-21.708;35.452.801;Bazaruto Island;MZ
IBP;SPBR;SA;'-11.4116;'-69.488701;Iberia;PE
IBR;RJAH;AS;36.181.099;140.414.993;Omitama;JP
IBZ;LEIB;EU;38.872.898;137.312;Ibiza (Eivissa);ES
ICA;SVIC;SA;433.632;'-61.739601;;VE
ICC;SVIE;SA;10.794.432;'-63.98159;Isla de Coche;VE
ICI;NFCI;OC;'-17.7432994843;'-179.341995239;Cicia;FJ
ICK;SMNI;SA;5.955.435;'-57.040617;Nieuw Nickerie;SR
ICL;KICL;NA;4.072.180.176;'-95.02639771;Clarinda;US
ICN;RKSI;AS;37.469.101;126.450.996;Seoul;KR
ICS;;NA;444.938.011.169;'-116.01599884;Cascade;US
ICT;KICT;NA;37.649.899;'-97.433098;Wichita;US
ICY;;NA;59.966.269;'-141.660118;Icy Bay;US
IDA;KIDA;NA;43.514.599;'-112.070999;Idaho Falls;US
IDB;ESUE;EU;61.869.701;126.894;Idre;SE
IDF;FZCB;AF;'-4.970605;1.957.867;Idiofa;CD
IDG;KIDG;NA;423.326;'-95.444901;Ida Grove;US
IDH;KGIC;NA;459.426;'-116.123001;Grangeville;US
IDI;KIDI;NA;40.631.119;'-79.101884;Indiana;US
IDK;YIDK;OC;'-26.965435;133.321.989;Indulkana;AU
IDO;SWIY;SA;'-11.57229995727539;'-50.66619873046875;Cristalândia;BR
IDP;KIDP;NA;371.584.014.893;'-95.77839660640001;Independence;US
IDR;VAID;AS;227.217.998.505;758.011.016.846;Indore;IN
IDY;LFEY;EU;46.717.641;'-2.392544;Île d'Yeu;FR
IEG;EPZG;EU;521.385;157.986;Nowe Kramsko;PL
IEJ;RORE;AS;26.722.537;127.786.801;Ie;JP
IES;EDAU;EU;5.129.361;13.356.111;Riesa;DE
IEV;UKKK;EU;5.040.194;3.045.194;Kyiv;UA
IFA;KIFA;NA;424.707.984.924;'-93.2699966431;Iowa Falls;US
IFF;YIFY;OC;'-18.899999618530273;1.412.169.952.392.570;;AU
IFH;OIFE;AS;32.928.902;515.611;Hesa;IR
IFJ;BIIS;EU;66.058.098;'-23.1353;Ísafjörður;IS
IFL;YIFL;OC;'-17.559401;146.011.993;;AU
IFN;OIFM;AS;32.750.755;51.861.483;Isfahan;IR
IFO;UKLI;EU;4.888.420.104.980.460;24.686.100.006.103.500;Ivano-Frankivsk;UA
IFP;KIFP;NA;35.157.398;'-114.559998;Bullhead City;US
IGA;MYIG;NA;20.975;'-73.666901;Matthew Town;BS
IGB;SAVJ;SA;'-41.3209;'-69.574898;Ingeniero Jacobacci;AR
IGD;LTCT;AS;39.976.627;43.876.648;Iğdır;TR
IGG;PAIG;NA;59.324.001;'-155.901993;Igiugig;US
IGH;YIGM;OC;'-18.664149;146.145.804;;AU
IGL;;AS;38.513;27.010.099;Çiğli;TR
IGM;KIGM;NA;35.259.499;'-113.938004;Kingman;US
IGN;RPMI;AS;813.049;124.214.996;Balo-i;PH
IGO;SKIG;SA;7.677.606;'-76.683165;Chigorodó;CO
IGR;SARI;SA;'-25.737301;'-54.4734;Puerto Iguazu;AR
IGS;ETSI;EU;487.156.982.421.875;11.534.000.396.728.500;Manching;DE
IGT;URMS;AS;43.323.268;45.012.568;Sunzha;RU
IGU;SBFI;SA;'-25.594167;'-54.489444;Foz do Iguaçu;BR
IHC;FQIA;AF;'-25.9971446991;32.929.351.806.599.900;Inhaca;MZ
IHN;OYQN;AS;15.417;51.682.999;Qishn;YE
IHO;FMSI;AF;'-22.404720202399997;461.649.370.193;Ihosy;MG
IHR;OIZI;AS;27.236.099;60.720.001;Iranshahr;IR
IHU;;OC;'-7.89756;145.395.996;Ihu;PG
IIA;EIMN;EU;53.092.999;'-9.56806;Inis Meáin;IE
IIL;OICI;AS;3.358.660.125.732.420;4.640.480.041.503.900;Ilam;IR
IIS;AYIA;OC;'-4.49972009659;154.225.997.925;Nissan Island;PG
IJK;USII;EU;5.682.809.829.711.910;5.345.750.045.776.360;Izhevsk;RU
IJU;SSIJ;SA;'-28.368711;'-53.846568;Ijuí;BR
IJX;KIJX;NA;39.774.601;'-90.238297;Jacksonville;US
IKA;OIIE;AS;35.416.099.548.339.800;51.152.198.791.503.900;Tehran;IR
IKB;KUKF;NA;362.228.012.085;'-81.09829711910001;North Wilkesboro;US
IKE;;NA;70.498.145;'-51.303084;Ikerasak;GL
IKG;UCFK;AS;42.508.099;78.407.799;Karakol;KG
IKI;RJDB;AS;337.490.005.493;129.785.003.662;Iki;JP
IKK;KIKK;NA;4.107.139.968.869.990;'-87.8462982178;Kankakee;US
IKL;FZGV;AF;'-1.048109;23.372.501;Ikela;CD
IKO;PAKO;NA;52.941.552;'-168.849478;Nikolski;US
IKP;YIKM;OC;'-16.229225;141.434.607;Inkerman;AU
IKS;UEST;AS;71.697.700.500.488;12.890.299.987.793;Tiksi;RU
IKT;UIII;EU;52.268.002;104.389;Irkutsk;RU
IKU;UCFL;AS;42.585.584;76.701.181;Tamchy;KG
ILA;;AS;'-3.97648;1.376.225;Ilaga;ID
ILE;KILE;NA;310.858.001.709;'-97.6865005493;Killeen;US
ILF;CZBD;NA;56.051.622;'-95.61882;Ilford;CA
ILG;KILG;NA;39.678.699;'-75.606499;Wilmington;US
ILH;ETIK;EU;494.739;103.881;Illesheim;DE
ILI;PAIL;NA;59.754.398;'-154.910996;Iliamna;US
ILK;FMMQ;AF;'-19.58300018310547;48.803.001.403.808.500;Ilaka;MG
ILL;KBDH;NA;45.117.552;'-95.132259;Willmar;US
ILM;KILM;NA;34.270.599.365.234.300;'-77.90260314941406;Wilmington;US
ILN;KILN;NA;39.427.898.407;'-83.792098999;Wilmington;US
ILO;RPVI;AS;10.833.017;122.493.358;Cabatuan;PH
ILP;NWWE;OC;'-22.588899612426758;16.745.599.365.234.300;Île des Pins;NC
ILQ;SPLO;SA;'-17.695;'-71.344002;Ilo;PE
ILR;DNIL;AF;8.440.210.342.407.220;4.493.919.849.395.750;Ilorin;NG
ILS;MSSS;NA;136.995;'-89.119904;San Salvador;SV
ILU;HKKL;AF;'-2.91061;38.065.201;Kilaguni;KE
ILY;EGPI;EU;55.682.708;'-6.257525;Isle of Islay, Argyll and Bute;GB
ILZ;LZZI;EU;49.233.292;18.613.386;Dolný Hričov;SK
IMB;SYIB;SA;570.811;'-60.294201;Imbaimadai;GY
IMF;VEIM;AS;247.600.002.289;93.896.697.998;Imphal;IN
IMI;;OC;7.005.553;171.656.959;Arno Atoll;MH
IMK;VNST;AS;299.711;81.818.901;Simikot;NP
IML;KIML;NA;4.050.930.023;'-101.6210022;Imperial;US
IMM;KIMM;NA;26.427.933;'-81.403531;Immokalee;US
IMO;FEFZ;AF;5.002.226;25.101.857;Zemio;CF
IMP;SBIZ;SA;'-5.53129;'-47.459999;Imperatriz;BR
IMQ;OITU;AS;39.191.293;44.928.505;Showt;IR
IMT;KIMT;NA;4.581.911;'-88.114557;Kingsford;US
INA;UUYI;EU;66.053.372;60.105.786;Inta;RU
INB;;NA;1.653.456;'-88.441615;Independence;BZ
IND;KIND;NA;397.173;'-86.294403;Indianapolis;US
INF;DATG;AF;19.560.518;5.749.326;In Guezzam;DZ
INH;FQIN;AF;'-23.8764;35.408.501;Inhambane;MZ
INI;LYNI;EU;43.337.009;2.185.451;Niš;RS
INJ;YINJ;OC;'-25.851;1.485.497;Injune;AU
INK;KINK;NA;31.779.600.143.399.900;'-103.200996399;Wink;US
INL;KINL;NA;48.566.200.256.347.600;'-93.4030990600586;International Falls;US
INM;YINN;OC;'-27.697589;140.739.498;;AU
INN;LOWI;EU;47.260.201;11.344;Innsbruck;AT
